Date,1D,1W,1M,2M,3M,1Y,2Y,3Y,4Y,5Y,6M,7Y,10Y,12Y,15Y
3,-0.031619143,0.015827475,0.05859549,0.037539079,0.028497902,0.008090039,-0.011241815,-0.004365777,-0.020669014,-0.013422566,0.015214689,-0.013525235,0.002521967,0.003036539,0.002727306
1,0.015811306,0.003513626,-0.000897594,-1.79E-04,-3.48E-06,0.007943632,0.007820392,1.05E-04,-0.008347233,-0.01575614,-1.36E-04,-0.032401734,0.000966677,0.001137778,0.001006923
1,0.015811303,0.003243083,-0.00095275,-1.79E-04,0.000600959,-1.39E-04,-6.45E-05,-0.063509214,-0.055050024,-0.055899,-0.000319203,-0.030996443,0.001859078,0.002151939,0.002100518
1,0,-0.022582922,-0.057052707,-0.037967419,-0.02976085,-0.015699466,-0.059489754,-0.042852183,-0.050740374,-0.0582753,-0.014375268,-0.025567998,-1.29E-04,-3.19E-05,-1.45E-04
1,0.031618779,0.011497735,0.003921531,0.001367761,0.001983058,1.20E-04,0.015828085,0.023621231,0.02395389,0.016227462,2.35E-04,-0.025071293,1.89E-04,1.34E-04,1.21E-04
3,3.83E-06,0.018382971,0.058595528,0.038261109,0.028525952,0.008085659,0.004439386,-0.004370714,-0.045009656,-0.0052608,0.01520931,0.002619463,0.002145738,0.002586417,0.002320802
1,-0.063245209,-0.014054493,-0.005441679,-0.002313035,-0.001685529,4.52E-06,-1.49E-04,-0.015821172,0.007775845,-0.024374109,-0.00090166,-0.040598057,-0.107457854,0.005370699,0.004839404
1,0,0,-0.001939194,0,0.000958619,-1.75E-04,5.82E-07,-0.016511909,-0.024025066,-0.023813247,-0.00047289,-0.032110862,0.001145051,0.001357063,0.001386156
1,0,-0.027325346,-0.058750198,-0.039857212,-0.031099711,-0.008312578,-0.004490396,-0.003363876,0.005313445,-0.002486717,-0.014613916,-0.002182955,-0.059842563,-2.12E-05,-1.40E-04
1,0.031619143,0.011276521,0.003613617,0.000360531,0.000984661,8.16E-05,-0.015726981,0.008295878,-8.70E-06,0.003912803,1.60E-04,-3.04E-05,-2.89E-06,-8.41E-05,-7.43E-05
3,0.031626065,0.030103318,0.062517455,0.040799849,0.030502072,0.004625979,0.004566835,-0.020206587,0.019000719,-0.001323571,0.015828534,0.002236129,0.00177196,0.002252648,0.002016853
1,-0.047433902,-0.010540868,-0.004511603,-0.001145687,-0.000669344,-2.33E-04,9.11E-05,0.031903517,-0.016408312,0.007684104,-0.000750415,-1.75E-04,-1.14E-04,-1.43E-04,-1.49E-04
1,0.047433902,0.009999792,0.000963774,0.000809066,0.001259905,7.87E-05,0.023306856,0.039552921,0.063720983,0.063527442,-1.43E-05,0.071965123,0.105219793,-0.007411095,-0.00654977
1,-0.063245209,-0.04128146,-0.062583243,-0.043320826,-0.03174449,-0.008310118,-0.019795137,-0.035723647,-0.034392998,-0.058057372,-0.015227148,-0.066142914,-0.04917245,0.002654599,0.002204459
1,-0.079058915,-0.028748696,-0.009035304,-0.003850165,-0.003626927,-0.001020707,-0.000512634,-2.17E-04,-0.000346902,0.007658866,-0.002004758,-0.00857542,-8.38E-05,8.82E-05,1.06E-04
3,0.126492824,0.066245995,0.074262875,0.045667068,0.034104561,0.016956591,0.005068312,0.003737992,-0.012897466,-0.008860762,0.017842371,0.002550168,-0.006525458,0.002878843,0.002514801
70,0.0158113,0.003243087,-0.000817873,-1.71E-04,-3.48E-06,0.000392938,0.007633552,0.024386929,0.00814044,0.019812119,-1.41E-04,0.016447708,0.016357586,-0.001457244,-0.00137233
